date,price
2020/2/14,5420.8025
2020/2/13,5412.8418
2020/2/12,5459.9461
2020/2/11,5361.2768
2020/2/10,5388.4349
2020/2/7,5327.0369
2020/2/6,5282.8922
2020/2/5,5123.9619
2020/2/4,4996.4743
2020/2/3,4910.9011
2020/1/23,5377.7411
2020/1/22,5575.5126
2020/1/21,5523.9419
2020/1/20,5587.5359
2020/1/17,5510.0453
2020/1/16,5527.6676
2020/1/15,5530.0266
2020/1/14,5542.3316
2020/1/13,5559.6272
2020/1/10,5480.2279
2020/1/9,5497.5429
2020/1/8,5423.7966
2020/1/7,5499.8395
2020/1/6,5434.8503
2020/1/3,5380.6372
2020/1/2,5366.1375
