date,price,leverage,
2020-06-29,5762.4378,2615.9242 ,
2020-06-24,5789.0893,2603.8613 ,
2020-06-23,5804.343,2620.8805 ,
2020-06-22,5784.0269,2611.3536 ,
2020-06-19,5787.1482,2587.4024 ,
2020-06-18,5734.403,2589.2514 ,
2020-06-17,5735.4183,2583.3659 ,
2020-06-16,5695.3007,2559.2884 ,
2020-06-15,5590.6435,2539.4103 ,
2020-06-12,5591.4871,2572.8401 ,
2020-06-11,5589.1019,2577.4734 ,
2020-06-10,5615.2417,2562.6223 ,
2020-06-09,5610.3774,2559.0852 ,
2020-06-08,5575.3036,2552.9349 ,
2020-06-05,5585.4231,2541.2940 ,
2020-06-04,5576.7535,2547.7277 ,
2020-06-03,5572.3125,2547.0402 ,
2020-06-02,5566.4438,2538.8655 ,
2020-06-01,5569.48,2530.2056 ,
2020-05-29,5406.3403,2497.7620 ,
2020-05-28,5361.167,2502.0433 ,
2020-05-27,5369.4992,2505.4829 ,
2020-05-26,5420.2126,2502.3531 ,
2020-05-25,5316.6036,2497.9196 ,
2020-05-22,5328.2268,2502.8270 ,
2020-05-21,5426.1745,2520.2768 ,
2020-05-20,5489.7024,2527.4354 ,
2020-05-19,5547.8759,2532.0287 ,
2020-05-18,5478.8218,2517.6599 ,
2020-05-15,5507.9336,2513.4113 ,
2020-05-14,5487.107,2514.7198 ,
2020-05-13,5536.2802,2511.9780 ,
2020-05-12,5512.464,2502.1273 ,
2020-05-11,5496.192,2491.9886 ,
2020-05-08,5507.6965,2473.3118 ,
2020-05-07,5445.7519,2466.5250 ,
2020-05-06,5451.3159,2445.8725 ,
2020-04-30,5353.8595,2410.6955 ,
2020-04-29,5226.8116,2437.2166 ,
2020-04-28,5227.846,2444.8843 ,
2020-04-27,5265.7248,2458.1142 ,
2020-04-24,5273.5474,2461.2321 ,
2020-04-23,5357.7904,2481.4931 ,
2020-04-22,5387.6233,2483.9767 ,
2020-04-21,5343.8806,2471.1205 ,
2020-04-20,5381.7857,2468.4080 ,
2020-04-17,5318.4547,2453.9181 ,
2020-04-16,5316.9707,2457.9719 ,
2020-04-15,5268.7497,2452.7537 ,
2020-04-14,5288.593,2450.9329 ,
2020-04-13,5169.1757,2441.5072 ,
2020-04-10,5208.5102,2441.6357 ,
2020-04-09,5322.4614,2463.2651 ,
2020-04-08,5271.7961,2451.4890 ,
2020-04-07,5267.073,2447.8439 ,
2020-04-03,5107.0393,2427.2490 ,
2020-04-02,5147.2019,2441.2200 ,
2020-04-01,5019.2187,2433.2162 ,
2020-03-31,5041.4534,2438.3911 ,
2020-03-30,5027.4856,2442.0288 ,
2020-03-27,5137.3371,2455.0943 ,
2020-03-26,5166.1091,2470.3900 ,
2020-03-25,5217.4237,2472.0571 ,
2020-03-24,5096.0408,2463.8030 ,
2020-03-23,4998.9095,2465.5521 ,
2020-03-20,5219.2809,2496.3008 ,
2020-03-19,5157.8235,2505.7485 ,
2020-03-18,5119.4716,2503.3225 ,
2020-03-17,5212.0619,2521.7820 ,
2020-03-16,5200.1142,2521.9550 ,
2020-03-13,5457.2006,2566.3466 ,
2020-03-12,5493.8838,2591.1815 ,
2020-03-11,5589.5311,2605.7215 ,
2020-03-10,5675.1113,2600.4703 ,
2020-03-09,5525.8167,2585.8066 ,
2020-03-06,5763.8602,2603.5231 ,
2020-03-05,5801.1199,2613.9146 ,
2020-03-04,5716.5112,2594.7980 ,
2020-03-03,5710.0235,2586.1001 ,
2020-03-02,5656.4193,2558.0642 ,
2020-02-28,5451.2897,2537.5933 ,
2020-02-27,5753.7277,2600.3346 ,
2020-02-26,5743.3929,2602.2456 ,
2020-02-25,5897.7219,2591.7377 ,
2020-02-24,5865.4665,2565.3429 ,
2020-02-21,5784.0321,2531.4042 ,
2020-02-20,5706.7127,2508.5480 ,
2020-02-19,5603.2626,2482.6208 ,
2020-02-18,5660.8142,2473.5446 ,
2020-02-17,5594.4366,2439.3723 ,
2020-02-14,5420.8025,2409.7441 ,
2020-02-13,5412.8418,2416.1629 ,
2020-02-12,5459.9461,2416.6274 ,
2020-02-11,5361.2768,2396.9619 ,
2020-02-10,5388.4349,2397.9270 ,
2020-02-07,5327.0369,2379.7822 ,
2020-02-06,5282.8922,2366.6326 ,
2020-02-05,5123.9619,2330.1396 ,
2020-02-04,4996.4743,2322.5413 ,
2020-02-03,4910.9011,2333.2808 ,
2020-01-23,5377.7411,2360.4877 ,
2020-01-22,5575.5126,2407.2534 ,
2020-01-21,5523.9419,2422.3694 ,
2020-01-20,5587.5359,2431.6953 ,
2020-01-17,5510.0453,2424.2469 ,
2020-01-16,5527.6676,2436.4864 ,
2020-01-15,5530.0266,2431.6007 ,
2020-01-14,5542.3316,2425.9988 ,
2020-01-13,5559.6272,2423.7648 ,
2020-01-10,5480.2279,2411.8816 ,
2020-01-09,5497.5429,2412.0992 ,
2020-01-08,5423.7966,2399.9334 ,
2020-01-07,5499.8395,2391.6369 ,
2020-01-06,5434.8503,2374.0281 ,
2020-01-03,5380.6372,2345.5221 ,
2020-01-02,5366.1375,2341.3109 ,
